department_number,department_phone_number,number_of_beds
1,632-159-5061,62
2,340-617-7439,17
3,475-560-2505,34
4,561-284-0936,59
5,290-616-0361,27
6,951-458-0301,47
7,209-895-3942,17
8,486-835-2162,58
9,565-595-1149,41
10,692-684-3930,17
11,131-454-7378,31
12,582-139-4440,46
13,773-578-7410,14
14,711-356-6284,59
15,502-144-5435,40
16,611-897-0766,6
17,102-840-5725,98
18,771-457-5159,93
19,350-106-1305,59
20,815-488-4433,57
21,227-993-8646,77
22,646-655-5013,62
23,228-733-4285,31
24,247-151-5789,12
25,800-805-3253,64
26,215-656-0548,39
27,781-922-7223,94
28,104-449-8977,63
29,980-909-9361,87
30,965-445-1444,21
31,452-660-2442,26
32,523-125-8583,14
33,751-795-7892,19
34,795-315-8256,94
35,908-750-4620,7
36,933-976-2438,59
37,214-447-0627,1
38,574-977-3179,19
39,356-374-5921,63
40,469-564-6972,29
41,351-468-3248,88
42,133-591-6455,3
43,516-907-9160,1
44,510-807-6533,86
45,250-153-2720,66
46,438-882-1100,4
47,856-734-6162,57
48,386-234-6305,93
49,545-519-9674,1
50,235-707-2160,99
51,393-950-9603,68
52,337-964-8914,95
53,435-325-2099,71
54,884-177-0518,26
55,951-974-3252,42
56,751-543-0752,97
57,741-852-9880,10
58,877-555-1586,13
59,651-303-8332,55
60,572-367-2721,18
61,900-661-5038,39
62,904-771-8077,24
63,229-149-4535,26
64,531-195-0569,10
65,245-696-7704,83
66,176-306-9361,54
67,926-885-5382,8
68,135-613-8172,27
69,107-389-6539,96
70,200-193-7076,76
71,317-289-9281,43
72,410-643-0403,88
73,922-508-8283,68
74,227-692-6266,79
75,175-712-6275,32
76,805-761-6008,73
77,468-701-9446,53
78,609-120-5005,77
79,349-313-6947,94
80,977-202-2470,10
81,951-419-0506,78
82,323-646-0041,96
83,566-224-5524,86
84,957-946-4154,67
85,980-779-7710,26
86,529-128-3416,51
87,661-121-0937,4
88,464-605-0619,47
89,514-106-3159,35
90,300-567-9087,2
91,719-771-1208,53
92,180-242-5823,38
93,103-363-0012,3
94,746-336-4893,46
95,898-166-5927,24
96,745-140-0951,39
97,742-291-0916,50
98,961-770-1921,22
99,377-781-3104,97
100,336-611-9762,65
101,967-666-6920,1
102,141-669-2733,28
103,118-157-4836,68
104,682-694-6438,64
105,508-228-2589,13
106,677-792-5962,3
107,204-815-9677,38
108,317-951-6206,12
109,573-878-6872,41
110,722-233-6892,38
111,356-369-3687,66
112,797-894-5583,30
113,639-370-9426,78
114,242-788-3777,44
115,162-669-7837,72
116,515-400-5985,83
117,118-717-2745,83
118,197-342-3899,58
119,932-927-2488,11
120,684-955-6539,91
121,543-980-6880,28
122,211-835-3029,19
123,313-679-8803,75
124,300-166-3541,57
125,240-995-2744,53
126,858-669-1132,56
127,413-839-1572,45
128,917-597-7709,25
129,679-374-5148,95
130,453-851-2872,72
131,112-499-8537,3
132,748-976-0808,100
133,386-463-0944,11
134,986-866-3886,61
135,152-806-8934,80
136,752-640-5972,64
137,958-872-6316,96
138,569-763-2432,58
139,497-725-1408,80
140,666-417-7898,38
141,589-829-4982,58
142,995-436-3802,58
143,630-913-4476,15
144,802-949-3582,46
145,128-374-4705,81
146,786-318-6885,53
147,370-828-6732,19
148,648-672-4343,4
149,780-994-7300,44
150,453-575-3085,40
151,103-997-1058,60
152,477-822-6553,53
153,444-567-3550,88
154,161-906-5597,50
155,432-470-6357,89
156,444-904-0929,14
157,357-193-0139,73
158,128-687-3792,63
159,974-676-5409,27
160,200-525-1552,46
161,501-555-5075,73
162,498-233-6305,21
163,146-905-5451,42
164,234-415-7853,70
165,831-881-5236,35
166,468-811-5898,60
167,170-150-8423,8
168,591-302-2720,93
169,856-247-8670,26
170,771-660-9509,10
171,249-885-3627,87
172,855-928-4740,82
173,627-406-4353,26
174,967-224-1691,88
175,781-429-7336,35
176,119-557-2685,22
177,365-709-3012,89
178,801-796-2515,100
179,501-793-2995,48
180,932-853-4782,30
181,472-705-4304,51
182,504-815-3538,15
183,691-218-9291,76
184,795-696-2546,49
185,415-785-3447,17
186,477-640-3454,43
187,875-836-9672,91
188,599-154-1431,66
189,448-391-0217,44
190,329-664-7620,5
191,184-435-1104,92
192,437-216-8314,34
193,532-188-9631,55
194,724-173-7144,36
195,156-194-7061,94
196,582-374-1583,86
197,528-859-3680,60
198,309-318-5840,38
199,938-489-1533,53
200,602-516-3711,85
201,105-534-5919,99
202,990-584-4853,50
203,324-650-2179,86
204,413-419-5717,44
205,907-904-9115,66
206,751-266-2509,25
207,634-238-2203,84
208,847-786-9175,58
209,326-935-0853,55
210,350-385-3808,40
211,352-796-4674,47
212,570-865-3840,56
213,465-703-7427,28
214,772-754-2840,75
215,826-200-2930,75
216,201-729-7481,28
217,419-679-4025,14
218,102-598-7467,28
219,682-817-7992,29
220,888-970-3731,33
221,263-358-1072,44
222,343-527-3257,89
223,516-381-3873,26
224,358-739-1840,15
225,281-677-7023,37
226,417-751-7061,43
227,528-392-2805,60
228,584-683-6912,63
229,272-347-6837,94
230,957-264-0556,57
231,625-774-1145,95
232,939-713-0315,85
233,745-712-2110,19
234,798-956-4862,35
235,422-565-1608,51
236,862-993-3560,52
237,643-233-1893,46
238,187-210-7669,29
239,898-748-8211,78
240,971-911-9943,94
241,649-934-5313,76
242,385-569-1585,98
243,253-832-3246,26
244,244-489-6910,2
245,569-460-3787,60
246,497-900-3369,73
247,935-154-4885,54
248,251-965-2273,44
249,775-930-5211,59
250,971-224-1852,51
251,724-576-1892,47
252,476-479-0727,12
253,117-753-4608,98
254,887-236-9356,11
255,786-324-1797,43
256,225-638-0391,61
257,917-321-7150,9
258,890-219-9901,16
259,633-471-3101,55
260,427-499-4135,70
261,284-378-0804,18
262,302-792-8405,93
263,616-890-4930,18
264,620-584-0337,67
265,945-743-2388,71
266,432-793-9982,54
267,910-278-5998,33
268,367-462-0540,80
269,682-215-6107,81
270,172-546-6898,14
271,692-571-0560,68
272,872-256-2077,100
273,582-789-1096,18
274,471-882-5788,75
275,289-816-7103,76
276,281-334-3626,38
277,949-760-9981,10
278,476-942-0646,10
279,628-627-8596,80
280,222-512-0867,15
281,709-955-8102,31
282,275-181-1038,29
283,865-260-7512,85
284,770-865-4629,59
285,530-618-5586,1
286,175-164-1665,55
287,160-269-7439,3
288,604-511-7958,76
289,208-756-4071,60
290,605-512-9841,59
291,321-319-5375,53
292,122-791-9670,82
293,278-759-8126,36
294,368-150-7222,64
295,134-497-2264,3
296,194-337-5552,83
297,380-464-6273,51
298,339-445-7169,11
299,632-492-0119,71
300,367-513-3528,40
301,130-689-9951,53
302,465-177-4992,89
303,205-883-2909,52
304,887-345-1775,42
305,375-837-2915,22
306,593-689-4160,2
307,466-827-0031,40
308,873-353-1133,2
309,563-749-0211,31
310,917-999-2843,86
311,895-560-0004,74
312,352-974-3637,49
313,873-443-2152,81
314,498-482-0903,92
315,245-898-0920,57
